                                                            ZZ203S       1249125159937519332002402625                                                      20260101           
                                                            203B S       0541287069305008377001041125                                                      20260101           
9999900000NON-METRO                                         203B S00830000541287069305008377001041125AR011ARKANSAS                  BRADLEY COUNTY         2026010100830002025
1578000000CAMDEN, AR                                        203B S00850000541287069305008377001041125AR013ARKANSAS                  CALHOUN COUNTY         2026010101730002009
9999900000NON-METRO                                         203B S02210000541287069305008377001041125AR015ARKANSAS                  CARROLL COUNTY         2026010102210002025
9999900000NON-METRO                                         203B S00950000541287069305008377001041125AR017ARKANSAS                  CHICOT COUNTY          2026010101190002008
1166000000ARKADELPHIA, AR                                   203B S02150000541287069305008377001041125AR019ARKANSAS                  CLARK COUNTY           2026010102190002023
9999900000NON-METRO                                         203B S00950000541287069305008377001041125AR021ARKANSAS                  CLAY COUNTY            2026010101190002024
9999900000NON-METRO                                         203B S01950000541287069305008377001041125AR023ARKANSAS                  CLEBURNE COUNTY        2026010101950002025
3822000000PINE BLUFF, AR                                    203B S01630000541287069305008377001041125AR025ARKANSAS                  CLEVELAND COUNT        2026010101630002025
3162000000MAGNOLIA, AR                                      203B S01220000541287069305008377001041125AR027ARKANSAS                  COLUMBIA COUNTY        2026010101490002023
9999900000NON-METRO                                         203B S01300000541287069305008377001041125AR029ARKANSAS                  CONWAY COUNTY          2026010101540002022
2786000000JONESBORO, AR                                     203B S02000000541287069305008377001041125AR031ARKANSAS                  CRAIGHEAD COUNT        2026010102000002025
2290000000FORT SMITH, AR-OK                                 203B S01790000541287069305008377001041125AR033ARKANSAS                  CRAWFORD COUNTY        2026010101790002025
3282000000MEMPHIS, TN-MS-AR                                 203B S03390000541287069305008377001041125AR035ARKANSAS                  CRITTENDEN COUN        2026010103400002024
9999900000NON-METRO                                         203B S01400000541287069305008377001041125AR037ARKANSAS                  CROSS COUNTY           2026010101400002025
9999900000NON-METRO                                         203B S00680000541287069305008377001041125AR039ARKANSAS                  DALLAS COUNTY          2026010100830002008
9999900000NON-METRO                                         203B S00830000541287069305008377001041125AR041ARKANSAS                  DESHA COUNTY           2026010100830002025
9999900000NON-METRO                                         203B S01400000541287069305008377001041125AR043ARKANSAS                  DREW COUNTY            2026010101500002024
3078000000LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR          203B S02320000541287069305008377001041125AR045ARKANSAS                  FAULKNER COUNTY        2026010102320002025
9999900000NON-METRO                                         203B S01210000541287069305008377001041125AR047ARKANSAS                  FRANKLIN COUNTY        2026010101750002020
9999900000NON-METRO                                         203B S00950000541287069305008377001041125AR049ARKANSAS                  FULTON COUNTY          2026010101390002024
